"filename","subcorpus","code","huni.chars","hrate.chars","huni.strings","hrate.strings","ttr.chars","ttr.strings","rm.chars"
"shuffled_dna_0007","shuffled","dna_0007",1.94133553109981,1.6795380557502,0,0,0.004,1,0.286144578313253
"shuffled_dna_0008","shuffled","dna_0008",1.52052053799457,1.36846986352464,0,0,0.004,1,0.413654618473896
"shuffled_dna_0009","shuffled","dna_0009",1.95325112032496,1.68444170072991,0,0,0.004,1,0.265060240963855
"shuffled_dna_0010","shuffled","dna_0010",1.9777094557227,1.69248175354217,0,0,0.004,1,0.258032128514056
"shuffled_dna_0011","shuffled","dna_0011",2.24663941356707,1.88961196208803,0,0,0.005,1,0.22713567839196
"shuffled_dna_0012","shuffled","dna_0012",1.99330215517307,1.69666180547889,0,0,0.004,1,0.228915662650602
"shuffled_dna_0013","shuffled","dna_0013",1.96791758464415,1.68620173161105,0,0,0.004,1,0.263052208835341
"shuffled_dna_0014","shuffled","dna_0014",1.93121669985123,1.65878576860716,0,0,0.004,1,0.268072289156627
"shuffled_dna_0015","shuffled","dna_0015",1.93715397340644,1.67158376689326,0,0,0.004,1,0.295180722891566
"shuffled_dna_0016","shuffled","dna_0016",1.89334595016702,1.62677789990175,0,0,0.004,1,0.315261044176707
"shuffled_dna_0017","shuffled","dna_0017",1.92132287848844,1.63386543629763,0,0,0.004,1,0.270080321285141
"shuffled_dna_0018","shuffled","dna_0018",1.96540580593698,1.67417056929124,0,0,0.004,1,0.267068273092369
"shuffled_dna_0019","shuffled","dna_0019",1.4477594990642,1.29742084073163,0,0,0.004,1,0.39859437751004
"shuffled_dna_0020","shuffled","dna_0020",1.45021143446195,1.28843009650925,0,0,0.003,1,0.383149448345035
"shuffled_dna_0021","shuffled","dna_0021",1.96400918775104,1.6751868190408,0,0,0.004,1,0.266064257028112
"shuffled_dna_0022","shuffled","dna_0022",2.05239797245749,1.76967732108346,0,0,0.005,1,0.276381909547739
"shuffled_dna_0023","shuffled","dna_0023",1.85304958981854,1.61334001234317,0,0,0.004,1,0.301204819277108
"shuffled_dna_0024","shuffled","dna_0024",1.93798064892634,1.66008606624675,0,0,0.004,1,0.269076305220884
"shuffled_dna_0025","shuffled","dna_0025",1.98948920927918,1.69219318308785,0,0,0.004,1,0.275100401606426
"shuffled_dna_0026","shuffled","dna_0026",1.99524672351601,1.71299259231927,0,0,0.004,1,0.272088353413655
