"filename","subcorpus","code","huni.chars","hrate.chars","huni.strings","hrate.strings","ttr.chars","ttr.strings","rm.chars"
"shuffled_cre_0002","shuffled","cre_0002",3.28795724310619,3.14654174157006,5.8928789678433,4.20407385711683,0.13,0.939393939393939,0.126436781609195
"shuffled_csw_0001","shuffled","csw_0001",4.02011283258269,3.05240854932727,5.09415153183259,4.2185555261732,0.27,0.65,0.136986301369863
"shuffled_cth_0001","shuffled","cth_0001",2.85466715942224,2.54788731150571,4.91486211287842,3.70866546144806,0.12,0.652777777777778,0.136363636363636
"shuffled_cth_0002","shuffled","cth_0002",2.93117819779822,2.6681478587814,5.10718041082721,4.0580982384604,0.16,0.61,0.178571428571429
"shuffled_cth_0003","shuffled","cth_0003",2.58991575132899,2.40724512910172,5.27263965642645,4.14090684607045,0.11,0.663265306122449,0.235955056179775
"shuffled_cth_0004","shuffled","cth_0004",2.84298646746328,2.38358351123882,4.80749282616609,3.90086826073688,0.1,0.57,0.177777777777778
"shuffled_cth_0005","shuffled","cth_0005",3.2139516338229,2.85163912260074,5.06749282616609,4.05966815213568,0.19,0.64,0.246913580246914
"shuffled_cth_0006","shuffled","cth_0006",3.11073137315266,2.68305114883621,4.96237977652327,3.9341279828198,0.17,0.59,0.168674698795181
"shuffled_cth_0007","shuffled","cth_0007",3.3688941880605,2.8219359159118,5.22081856453674,4.09151639987682,0.21,0.65,0.215189873417722
"shuffled_cth_0008","shuffled","cth_0008",3.08266627785658,2.69659574015996,5.13534326730941,4.12766878268033,0.17,0.64,0.204819277108434
"shuffled_cth_0009","shuffled","cth_0009",3.10715389504763,2.68642052620021,4.71050625206659,3.80684630849549,0.17,0.54,0.144578313253012
"shuffled_cth_0010","shuffled","cth_0010",3.45965625661546,2.85330783259722,5.01419298803641,3.96318747412953,0.2,0.6,0.1875
"shuffled_cth_0011","shuffled","cth_0011",3.36099749342893,2.82333783346351,5.06343693988161,4.03660972129233,0.19,0.61,0.135802469135802
"shuffled_div_0001","shuffled","div_0001",4.18666812816816,3.00807747635434,6.13942197910658,4.74841710919887,0.26,0.896551724137931,0.0810810810810811
"shuffled_dna_0001","shuffled","dna_0001",1.79671376822809,1.48107805980072,0,0,0.04,1,0.354166666666667
"shuffled_dna_0002","shuffled","dna_0002",1.95880735163372,1.56023536161296,0,0,0.04,1,0.291666666666667
"shuffled_dna_0003","shuffled","dna_0003",2.17115603536385,1.70503416258025,0,0,0.05,1,0.263157894736842
"shuffled_dna_0004","shuffled","dna_0004",1.95549166160137,1.64843580888753,0,0,0.04,1,0.21875
"shuffled_dna_0005","shuffled","dna_0005",1.9836671584245,1.61443474847509,0,0,0.04,1,0.177083333333333
"shuffled_dna_0006","shuffled","dna_0006",1.96250887869293,1.61515247272234,0,0,0.04,1,0.25
"shuffled_dna_0007","shuffled","dna_0007",1.91460008134876,1.56350286734608,0,0,0.04,1,0.21875
"shuffled_dna_0008","shuffled","dna_0008",1.38305118397782,1.25224568800695,0,0,0.03,1,0.463917525773196
"shuffled_dna_0009","shuffled","dna_0009",1.97475213248335,1.64474585673905,0,0,0.04,1,0.302083333333333
"shuffled_dna_0010","shuffled","dna_0010",1.94880103156476,1.56192521411171,0,0,0.04,1,0.302083333333333
"shuffled_dna_0011","shuffled","dna_0011",2.20206653749343,1.75533610240465,0,0,0.05,1,0.221052631578947
"shuffled_dna_0012","shuffled","dna_0012",1.98993205464581,1.58112577709166,0,0,0.04,1,0.197916666666667
"shuffled_dna_0013","shuffled","dna_0013",1.92251916589109,1.56893348532463,0,0,0.04,1,0.34375
"shuffled_dna_0014","shuffled","dna_0014",1.91040776121042,1.61346971656742,0,0,0.04,1,0.239583333333333
